"Name",                   "Formula",         "Mass", "log P", "HB Donors", "HB Acceptors", "Rotatable Bonds", "Polar Surface", "Heavy Atom", "Complexity", "Density", "Boiling", "Melting",  "SMILES","InChl"
"Acetic Acid",            C₂H₄O₂,           60.05, -0.28,     1,           2,              0,                 37.3,             4,            31,          1.049,       118,         16,"CC(=O)O","InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)"
"Acetylene",              C₂H₂,             26.04,  0.37,     0,           0,              0,                 0,                2,             8,          0.6,         -84,      -80.8,"C#C","InChI=1S/C2H2/c1-2/h1-2H"
"Adenine",                C₅H₅N₅,          135.13, -2.12,     2,           4,              0,                 80.5,            10,           127,          1.9,       243.2,        360,"C1=NC2=NC=NC(=C2N1)N","InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)"
"Alanine",                C₃H₇NO₂,          89.09, -0.68,     2,           3,              1,                 63.3,             6,           61.8,         1.424,     212.9,        295,"C[C@@H](C(=O)O)N","InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1"
"Ammonia",                NH₃,              17.03,  -0.7,     1,           1,              0,                 1,                1,           0,            0.00086,  −33.34,     −77.73,"N","InChI=1S/H3N/h1H3"
"Anthracene",             C₁₄H₁₀,          178.23,  4.56,     0,           0,              0,                 0,               14,           154,          1.28,      341.3,        216,"C1=CC=C2C=C3C=CC=CC3=CC2=C1","InChI=1S/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H"
"Arginine",               C₆H₁₄N₄O₂,        174.2, -1.652,    4,           4,              5,                 128,             12,           176,          1.5,       368,          260,"C(C[C@@H](C(=O)O)N)CN=C(N)N","InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1"
"Argon",                  Ar,                39.9,  0.66,     0,           0,              0,                 0,                1,           0,            1.656,    -185.7,     -189.2,"[Ar]","InChI=1S/Ar"
"Asparagine",             C₄H₈N₂O₃,        132.12, -3.82,     3,           4,              3,                 106,              9,           134,          1.543,     438,          234,"C([C@@H](C(=O)O)N)C(=O)N","InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m0/s1"
"Aspartic Acid",          C₄H₇NO₄,          133.1, -0.67,     3,           5,              3,                 101,              9,           133,          1.7,       324,          270,"C([C@@H](C(=O)O)N)C(=O)O","InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m0/s1"
"Aspirin",                C₉H₈O₄,          180.16,   1.2,     1,           4,              3,                 63.6,            13,           212,          1.4,       140,          135,"CC(=O)OC1=CC=CC=C1C(=O)O","InChI=1S/C9H8O4/c1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-5H,1H3,(H,11,12)"
"ATP",                    C₁₀H₁₆N₅O₁₃P₃,   507.18,  -5.5,     7,          17,              8,                 279,             31,           800,          1.04,      951,          187,"C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N","InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1"
"Benzene",                C₆H₆,             78.11,   2.1,     0,           0,              0,                 0,                6,           15.5,         0.88,      80,           5.5,"C1=CC=CC=C1","InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H"
