"Name",                   Formula",          "Mass", "log P", "HB Donors", "HB Acceptors", "Rotatable Bonds", "Polar Surface", "Heavy Atom", "Complexity", "Density", "Boiling", "Melting"
"Argon",                  Ar,                39.9,  0.66,     0,           0,              0,                 0,                1,           0,            1.656,    -185.7,    -189.2
"Aspirin",                C₉H₈O₄,           180.16,  1.2,     1,           4,              3,                 63.6,            13,           212,          1.4,       140,       135
"ATP",                    C₁₀H₁₆N₅O₁₃P₃,    507.18, -5.5,     7,          17,              8,                 279,             31,           800,          1.04,      951,       187
"Benzene",                C₆H₆,              78.11,  2.1,     0,           0,              0,                 0,                6,           15.5,         0.88,      80,        5.5
"Buckminsterfullerene",   C₆₀,              720.6,  18.3,     0,           0,              0,                 0,               60,           2030,         1.65,      527,       280
"Butane",                 C₄H₁₀,             58.12,  2.9,     0,           0,              1,                 0,                4,           2,            0.6,       -0.5,      -138
"Carbon Dioxide",         CO₂,              44.009, 0.83,     0,           2,              0,                 34.1,             3,           18.3,         0.0018,    -78.46,  -56.56
"Caffeine",               C₈H₁₀N₄O₂,        194.19, -0.1,     0,           3,              0,                 58.4,            14,           293,          1.23,      178,       238
"Cholesterol",            C₂₇H₄₆O,          386.7,   8.7,     1,           1,              5,                 20.2,            28,           591,          1.067,     360,       148.5
"Claritin",               C₂₂H₂₃ClN₂O₂,     382.9,   5.2,     0,           3,              2,                 42.4,            27,           569,          1.3,       531,       137
"D-Glucose",              C₆H₁₂O₆,          180.16, -2.6,     5,           6,              1,                 110,             12,           151,          1.544,     410.8,     150
"Darunavir",              C₂₇H₃₇N₃O₇S,      547.7,   2.9,     3,           9,             12,                 149,             38,           853,          1.3,       311.6,     74
"Decane",                 C₁₀H₂₂,           142.28,  5.0,     0,           0,              7,                 0,               10,           40,           0.73,      174.1,     -29.7
"Docosane",               C₂₂H₄₆,           310.6, 12.44,     0,           0,             19,                 0,               22,           153,          0.778,     370,       44
"Dodecane",               C₁₂H₂₆,           170.33,  6.1,     0,           0,              9,                 0,               12,           56.4,         0.75,      216.3,     -9.55
"Efaproxiral",            C₂₀H₂₃NO₄,        341.4,   3.6,     2,           4,              6,                 75.6,            25,           458,          1.2,       554.5,     138
"Ethane",                 C₂H₆,             30.07,  1.81,     0,           0,              0,                 0,                2,           0,            0.362,     -88,       -172
"Ethanol",                C₂H₆O,            46.07, -0.19,     1,           1,              0,                 20.2,             3,           2.8,          0.79,      78.2,    -114.1
"Ether",                  C₄H₁₀O,           74.12,  0.9,      0,           1,              2,                 9.2,              5,           11.1,         0.706,     34.6,      -116
"Helium",                 He,                4.00,  0.28,     0,           0,              0,                 0,                1,           0,            0.1785,  -268.9,    -272.2
"Heneicosane",            C₂₁H₄₄,           296.6, 11.91,     0,           0,             18,                 0,               21,           143,          0.792,     356.5,     40.5
"Heptadecane",            C₁₇H₃₆,           240.5,  9.79,     0,           0,             14,                 0,               17,           103,          0.777,     301.8,      22
"Heptane",                C₇H₁₆,            100.20,  4.4,     0,           0,              4,                 0,                7,           19.2,         0.684,     98,        -91
"Hexadecane",             C₁₆H₃₄,           226.44,  8.3,     0,           0,              13,                0,               16,           92.6,         0.773,     287,       18
