"Name",                    "Mass", "log P", "H-Bond Donors", "H-Bond Acceptors", "Rotatable Bonds", "Polar Surface", "Heavy Atom", "Complexity"
"Aspirin",                 180.16,  1.2,     1,               4,                  3,                 63.6,            13,           212
"ATP",                     507.18, -5.7,     7,              17,                  8,                 279,             31,           800
"Benzene",                  78.11,  2.1,     0,               0,                  0,                 0,                6,           15.5
"C60",                     720.6,  18.3,     0,               0,                  0,                 0,               60,           2030
"Caffeine",                194.19, -0.1,     0,               3,                  0,                 58.4,            14,           293
"Cholesterol",             386.7,   8.7,     1,               1,                  5,                 20.2,            28,           591
"Claritin",                382.9,   5.2,     0,               3,                  2,                 42.4,            27,           569
"Darunavir",               547.7,   2.9,     3,               9,                 12,                 149,             38,           853
"Efaproxiral",             341.4,   3.6,     2,               4,                  6,                 75.6,            25,           458
"Ether",                    74.12,  0.9,     0,               1,                  2,                 9.2,              5,           11.1
"D-Glucose",               180.16, -2.6,     5,               6,                  1,                 110,             12,           151
"Thioketal Haloperidol",   452.1,   5.4,     1,               5,                  6,                 74.1,            29,           509
"Ibuprofen",               206.28,  3.5,     1,               2,                  4,                 37.3,            15,           203
"Lipitor",                1155.3,  5.39,     6,              12,                 22,                 229,             83,           817
"Metformin",               129.16, -1.3,     3,               1,                  2,                 91.5,             9,           132
"Morphine",                285.34,  0.8,     2,               4,                  0,                 52.9,            21,           494
"Nitroglycerin",           227.09,  1.6,     0,               9,                  5,                 165,             15,           219
"Paxlovid",                499.5,   2.2,     3,               8,                  7,                 131,             35,           964
"Penicillin G",            334.4,   1.8,     2,               5,                  4,                 112,             23,           530
"Thorazine",               318.9,   5.2,     0,               3,                  4,                 31.8,            21,           339
"Vanillin",                152.15,  1.2,     1,               3,                  2,                 46.5,            11,           135
"Viagra",                  666.7,   1.8,     5,              15,                 12,                 250,             46,           1070
"Voxelotor",               337.4,   2.7,     1,               5,                  6,                 77.2,            25,           434
"Water",                  18.015,  -0.5,     1,               1,                  0,                 1,                1,           0
"Zidovudine",             267.24,  0.05,     2,               6,                  3,                 93.2,            19,           484
"Zyrtec",                  461.8,  0.86,     3,               5,                  8,                 53,              29,           443
