"Name",                   "Formula",         "Mass", "log P", "HB Donors", "HB Acceptors", "Rotatable Bonds", "Polar Surface", "Heavy Atom", "Complexity", "Density", "Boiling", "Melting"
"Adenine",                C₅H₅N₅,          135.13, -2.12,     2,           4,              0,                 80.5,            10,           127,          1.9,       243.2,     360
"Alanine",                C₃H₇NO₂,          89.09, -0.68,     2,           3,              1,                 63.3,             6,           61.8,         1.424,     212.9,     295
"Arginine",               C₆H₁₄N₄O₂,        174.2, -1.652,    4,           4,              5,                 128,             12,           176,          1.5,       368,       260
"Argon",                  Ar,                39.9,  0.66,     0,           0,              0,                 0,                1,           0,            1.656,    -185.7,    -189.2
"Asparagine",             C₄H₈N₂O₃,        132.12, -3.82,     3,           4,              3,                 106,              9,           134,          1.543,     438,       234
"Aspartic Acid",          C₄H₇NO₄,          133.1, -0.67,     3,           5,              3,                 101,              9,           133,          1.7,       324,       270
"Aspirin",                C₉H₈O₄,          180.16,   1.2,     1,           4,              3,                 63.6,            13,           212,          1.4,       140,       135
"ATP",                    C₁₀H₁₆N₅O₁₃P₃,   507.18,  -5.5,     7,          17,              8,                 279,             31,           800,          1.04,      951,       187
"Benzene",                C₆H₆,             78.11,   2.1,     0,           0,              0,                 0,                6,           15.5,         0.88,      80,        5.5
"Buckminsterfullerene",   C₆₀,              720.6,  18.3,     0,           0,              0,                 0,               60,           2030,         1.65,      527,       280
"Butane",                 C₄H₁₀,            58.12,   2.9,     0,           0,              1,                 0,                4,           2,            0.6,       -0.5,      -138
"Carbon Dioxide",         CO₂,             44.009,  0.83,     0,           2,              0,                 34.1,             3,           18.3,         0.0018,    -78.46,  -56.56
"Caffeine",               C₈H₁₀N₄O₂,       194.19,  -0.1,     0,           3,              0,                 58.4,            14,           293,          1.23,      178,       238
"Cholesterol",            C₂₇H₄₆O,          386.7,   8.7,     1,           1,              5,                 20.2,            28,           591,          1.067,     360,       148.5
"Claritin",               C₂₂H₂₃ClN₂O₂,     382.9,   5.2,     0,           3,              2,                 42.4,            27,           569,          1.3,       531,       137
"Cysteine",               C₃H₇NO₂S,        121.16,  0.23,     3,           4,              2,                 64.3,             7,          75.3,          1.3,       293.9,     240
"Cytosine",               C₄H₅N₃O,          111.1,  2.29,     2,           2,              0,                 67.5,             8,           170,          1.6,       445.8,     320
"D-Glucose",              C₆H₁₂O₆,         180.16,  -2.6,     5,           6,              1,                 110,             12,           151,          1.544,     410.8,     150
"Darunavir",              C₂₇H₃₇N₃O₇S,      547.7,   2.9,     3,           9,             12,                 149,             38,           853,          1.3,       311.6,     74
"Decane",                 C₁₀H₂₂,          142.28,   5.0,     0,           0,              7,                 0,               10,           40,           0.73,      174.1,     -29.7
"Docosane",               C₂₂H₄₆,           310.6, 12.44,     0,           0,             19,                 0,               22,           153,          0.778,     370,       44
"Dodecane",               C₁₂H₂₆,          170.33,   6.1,     0,           0,              9,                 0,               12,           56.4,         0.75,      216.3,     -9.55
"Efaproxiral",            C₂₀H₂₃NO₄,        341.4,   3.6,     2,           4,              6,                 75.6,            25,           458,          1.2,       554.5,     138
"Elaidic Acid",           C₁₈H₃₄O₂,         282.5,   7.7,     1,           2,             15,                 37.3,            20,           234,          0.9,       360,       44
"Ethane",                 C₂H₆,             30.07,  1.81,     0,           0,              0,                 0,                2,           0,            0.362,     -88,       -172
"Ethanol",                C₂H₆O,            46.07, -0.19,     1,           1,              0,                 20.2,             3,           2.8,          0.79,      78.2,    -114.1
"Ether",                  C₄H₁₀O,           74.12,   0.9,     0,           1,              2,                 9.2,              5,           11.1,         0.706,     34.6,      -116
"Glutamic Acid",          C₅H₉NO₄,         147.13, -1.43,     3,           5,              4,                 101,             10,           145,          1.46,     333.8,       205
"Glutamine",              C₅H₁₀N₂O₃,       146.14, -1.28,     3,           4,              4,                 106,             10,           146,          1.5,      353.5,       185
"Glycine",                C₂H₅NO₂,          75.07, -1.03,     2,           3,              1,                 63.3,             5,           42.9,         1.16,     240.9,       233
"Guanine",                C₅H₅N₅O,         151.13, -0.98,     3,           3,              0,                 96.2,            11,           225,          2.2,      591.4,       360
"Helium",                 He,                4.00,  0.28,     0,           0,              0,                 0,                1,           0,            0.1785,  -268.9,    -272.2
"Heneicosane",            C₂₁H₄₄,           296.6, 11.91,     0,           0,             18,                 0,               21,           143,          0.792,     356.5,     40.5
"Heptadecane",            C₁₇H₃₆,           240.5,  9.79,     0,           0,             14,                 0,               17,           103,          0.777,     301.8,      22
"Heptane",                C₇H₁₆,            100.20,  4.4,     0,           0,              4,                 0,                7,           19.2,         0.684,     98,        -91
"Hexadecane",             C₁₆H₃₄,           226.44,  8.3,     0,           0,              13,                0,               16,           92.6,         0.773,     287,       18
"Hexane",                 C₆H₁₄,            86.18,   3.9,     0,           0,              3,                 0,                6,           12,           0.659,     69,        -95
"Histidine",              C₆H₉N₃O₂,        155.15, -1.26,     3,           4,              3,                 92,              11,           151,          1.4,      458.9,      287
"Dihydrogen",             H₂,               2.016,     0,     0,           0,              0,                 0,                0,            0,           0.000082, -259.16, -252.76
"Ibuprofen",              C₁₃H₁₈O₂,         206.28,  3.5,     1,           2,              4,                 37.3,            15,           203,          1.03,      157,       76
"Icosane",                C₂₀H₄₂,           282.5, 11.38,     0,           0,             17,                 0,               20,           132,          0.7886,    344.1,    36.47
"Isoleucine",             C₆H₁₃NO₂,        131.17,  0.73,     2,           3,              3,                 63.3,             9,           103,          1.0,       225.8,     288
"Krypton",                Kr,                83.8,  0.89,     0,           0,              0,                 0,                1,           0,            2.9,      -153.2,   -157.3
"Leucine",                C₆H₁₃NO₂,        131.17,  0.73,     2,           3,              3,                 63.3,             9,           101,          1.0,       225.8,     293
"Lipitor",                C₆₆H₆₈CaF₂N₄O₁₀,  1155.3, 5.39,     6,          12,             22,                 229,             83,           817,          NA,        722,       164
"Lysine",                 C₆H₁₄N₂O₂,       146.19, -1.04,     3,           4,              5,                 89.3,            10,           106,          1.1,       311.5,     215
"Metformin",              C₄H₁₁N₅,          129.16, -1.3,     3,           1,              2,                 91.5,             9,           132,          1.3,       172.5,     224.5
"Methane",                CH₄,              16.043,  0.6,     0,           0,              0,                 0,                1,           0,            0.716,     -161,      -183
"Methionine",             C₅H₁₁NO₂S,        149.21, 0.37,     2,           4,              4,                 88.6,             9,           97,           1.34,      306.9,     280
"Morphine",               C₁₇H₁₉NO₃,        285.34,  0.8,     2,           4,              0,                 52.9,            21,           494,          1.4,       476.2,     254
"Neon",                   Ne,                20.18, 0.28,     0,           0,              0,                 0,                1,            0,           1.442,     -246,    -248.67
"Dinitrogen",             N₂,               28.013,    0,     0,           2,              0,                 47.6,             2,            8,           0.00125, -195.79,   -210.01
"Nitroglycerin",          C₃H₅N₃O₉,         227.09,  1.6,     0,           9,              5,                 165,             15,           219,          1.6,       250,       13.5
"Nonadecane",             C₁₉H₄₀,           268.5, 10.85,     0,           0,             16,                 0,               19,           123,          0.786,     330,        33
"Nonane",                 C₉H₂₀,            128.25,  4.5,     0,           0,              6,                 0,                9,           33.3,         0.718,     151,       -53
"Octadecane",             C₁₈H₃₈,           254.5, 10.32,     0,           0,             15,                 0,               18,           112,          0.777,     317,        28
"Octane",                 C₈H₁₈,            114.23,  3.9,     0,           0,              5,                 0,                8,           25,           0.703,     125,       -57
"Oleic Acid",             C₁₈H₃₄O₂,         282.5,   7.7,     1,           2,             15,                 37.3,            20,           234,          0.9,       360,        17
